title,description,categories
مرغ عشق سالم کار,مرغ عشق خشگل نر سبز ماده لیمویی خیلی جفت جوری هستن,leisure-hobbies
LED LG,سلام  تعدادي ال ای دی 49LG اصل مدل آخر LG فول مدل ٢٠١٦ ,electronic-devices
فرش 3 متری تبریز,دست بافت طرح ماهی,for-the-home
فروش دستگاه میوه خشک کن,"دستگاه میوه خشک کنی تمام اتوماتیک موقعیت دستگاه اسلامشهر دستگاه آک 
قیمت توافقی مشتری واقعی تماس بگیره 
تماس از ساعت ٩ صبح الی ٢٠",businesses
میز آرایش,سالم در حد نو،براق،با آینه،بدون خط و خش,for-the-home
الکترو موتور با کیربکس,الکترو موتور 3 اسب. 3فاز تبریز$NUMدور  نو کوبلن شده با گیربکس نو,businesses
Htc 10 عین اکبند,"کاملا سالم بدون خط وخش یک هفته کارکرده تایوان أصل با لوازم وجعبه ٣٢ گیگ 
فقط تماس جواب میدم",electronic-devices
گوشی جی3 استسنائی بسیار قیمت فوق العاده,گوشی الجی جی 3 بسیار بسیار تمیز بدون خط و خش با جی 4 هم معاوضه میکنم گوشیم همراه با دو تا قاب.  داره900 قیمت با فروشنده تا 850 هم کنار میایم,electronic-devices
اینه سمند سورن راهنما دار,یک جفت اینه سمند سورن راهنما دار مارک اصلی کروز نو نو,vehicles
پخش cd کاست فابریک آزار نو و سالم { اسپورت عتیق },از ماشین درش آوردم,vehicles
خودروسمند مدل 90,سه لکه رنگ شدگی داره. گلگیرها و سینی عقب,vehicles
تخت بیمار (خانگی) - یک شکن,حدودا 3 هفته استفاده شده,personal
گهواره kids-glory,"گهواره کاملا نو
دارای ویبریشن
یکبار هم استفاده نشده",personal
سفره ماهى,"سلام
سفره ماهى موتورو هیبرید ماده قطر دیسک هفده سانت سالم وغذا خور وپر تحرک وبازى گوش غذا خشکم میخوره",leisure-hobbies
کتاب های کمک درسی جدید,کلیه کتاب های کمک درسی ویرایش جدید و نو با 20تخفیف فروخته میشود.,leisure-hobbies
فر(منقل)تابشی,فروش یک عدد فر تابشی 40سیخ در وضعیت کاملا خوب و سالم.,businesses
ایسوز6تن,بدون رنگ فابریک موتورپلومگیروداف پلوم به شرط سالم شش حلقه لاستیک اوپلس بیمه همش تخفیف تااخراذرماه,vehicles
نایک لبرون,فوق العاده شیک,leisure-hobbies
تاپ دو نفره کودک نو و تمیز ...استفاده نشده,تا سن 9 سال قابل استفاده است,personal
کفش پاشنه بلند ترک,"کفش ورنی پاشنه بلند 
تُرک 
کاملا نو 
سایز 38",personal
میز سه کشویی اداری,"میز با ابعاد 160 * 80 با ارتفاع 80 سانتی متر به همراه یک سه کشویی همرنگ با ابعاد 40*55 با ارتفاع 80 سانتی متر مناسب کار.
میز از جنس ام دی اف می باشد.",businesses
باند پایونیرA-6995-S,یک جفت باند پایونیر در حد یک هفته استفاده کردم,vehicles
sony tipo,اکبند مشکی قاب اضافه,electronic-devices
بلیط چارتر هواپیما,"بلیط های چارتری و لحظه آخری هواپیما !
پاسخگویی به صورت 24ساعته ..
ارائه ارزان ترین بلیط های هواپیما در تمامی مسیر های داخلی !!",leisure-hobbies
معاوضه لپ تاپ acer تاچ حرفه ای,"لپ تاپ ایسر حرفه ای مخصوص بازی و طراحی سنگین گرافیکی توانایی اجرای اخرین بازی های روز مثل مافیا و جی تی ای وی
Nvidia geforce 840 2gig
6gig ram 
1000gb hdd
معاوضه با ps4
1,7 up to 2,7 Intel core i5
Play station 4
پلی استیشن چهار
معاوضه با لپ تاپ رده پایین وای داری کارت گرافیک مجزا تا ١ میلیون
لپ تاپ صنعتی قوی هم بود تعویض میکنم
تأکید میکنم گرافیک اینتل نباشه
یا amd یا gforce",electronic-devices
قناری,قناری نر  جوجه پارسال کوتاه بلندمیخونه با قفس ۴۵۰۰۰تومان.باتشکرازعوامل دیوار,leisure-hobbies
چرخ برقی دوخت درب گونی,فروش یک عدد چرخ برقی دوخت درب گونی . بسیار کم کار با نو فرقی نداره,businesses
شلوار لی  مدرن چل تیکه,سلام شلوار لی فقط یک بار پوشیده شده جنس درجه یک مدل شده تخفیف ویژه هم داره تازه خریده شده چون  متاسفانه خیلی لاغرم اندازم نیست دارم میفروشم,personal
دستگاه انژکتور شور,دستگاه انژکتور شور رو کار در حد نو,businesses
ایینه فرفورژه,یه عدد ایٔیینه فرفورژه قدی و یه ایینه و میز و یه میز فرفورژه به همراه شیشه بسیار تمییز و سالم به دلیل کمبود جا,businesses
تولید و فروش انواع اجاق گازهای پروفیلی,وسایر خدمات جوشکاری پذیرفته میشود,businesses
سامسونگ s7 در حد آک,دوماه خریداری کردم لوازم فابریکش دست نخورده بدون کوچکترین خط و خش,electronic-devices
بوت سایز 38,بوت سالم کم استفاده شده,personal
روتختی,یک رو تختی سفید  نو  مناسب عروس استفاده نشده آک,for-the-home
کباب پز سایز کوچک مارک نپتون,یک عددد کباب پز نپتون سایز کوچک کم جا واستفاده نشده ونو مناسب تراس منازل آپارتمانی ، قابل اتصال به گاز شهری ویا کپسول ..,for-the-home
وایمکس ایرانسل,"وایمکس ایرانسل 
پهنای باند ۵۱۲ کیلو بایت",electronic-devices
مجسمه عودسوزو...,"مجسمه عود سوز سالم نو کادو بوده استفاده نشده.16ت.
مجسمه فلزی نو کادو بوده استفاده نشده.13ت.",for-the-home
آینه و ویترین‌‌,ویترین‌‌ و‌اینه  یاسی‌رنگ,businesses
فروش کلیه وسایل مغازه فست فود,فروش کلیه وسایل اهم از تاپینگ.یخچال ایستاده.فر.سینک و پایه. کپسول و...با قیمت مناسب,businesses
سبزکاکلی‌پرشی,"دوتاماده‌عالی‌کاکلی‌
سبزکاکلی‌ماده‌قبلاازش‌جوجه‌کشیدم
گرگی‌کاکلی‌موش‌پا‌جوون‌
دونه۳۵هزارتومن
ارسال‌دارم‌قبل‌ازارسال‌کل‌مبلغ‌رااول‌میگیرم
بعدبهزینه‌خریدارارسال‌میکنم
پیامک‌پاسخگونیستم",leisure-hobbies
لباس زنانه پای هم,به علت تخلیه مغازه کلیه اجناس زنانه، ساپورت و جوراب بچه گانه همه پای هم نصف قیمت,businesses
قالیچه فانتزی,قالیچه فانتزی اندازه  ۱/۵×۱ با قالیچه ماشینی هم معاوضه می شود,for-the-home
not3(9005)4G,"گوشی گوشه بالا سمت چپش یکم رنگش رفته گوشی از همه نظر سالمه تست 48تست میدم 
امکانات
فورجی 
8هسته ای 
دوربین 13
دورربین سلفی 5HD
داراری حسگرهای تماس وغیره",electronic-devices
میز تحریر,سلام میز فوق کاملاتمیز و نو میباشد میشه برا کامپیوتر ومیز چرخ هم استفاده کرد دوماه پیش گرفتم چون جاندارم میدم کاملا ام دی افه,for-the-home
لباش شب,تماس 17 به بعد,personal
تلویزیون سامسونگ ۲۱ اینچ,"بسیار تمیز 
تخفیف جزیی هنگام خرید",electronic-devices
وانت پیکان,در حد،بیمه،فوق العاده تمیز،بدون خط و خش،زاپاس زیر ماشین نرفته,vehicles
فر ساندویچی,دو سنگ دو سرخ کن بسیار کم کار تمیز,businesses
لودسل لاسوکس مدل STC-5Kg,"لودسل لاسوکس مدل STC-5Kg با ظرفیت 5 کیلوگرم
نو به همراه برگه ی کالیبراسیون",businesses
سرکه سیب خالص خانگی,دوتن سرکه سیب خالص خانگی,businesses
huawei g7,گوشی هواوی جی هفت فورجی دو سیم در حد آک از دیجی کالا خریداری شده با ضمانت رنگ خاکستری,electronic-devices
فروش کیف زنانه نو نو,"سلام
کیف زنانه
قیمت$NUMتومان
خیلی کم استفاده شده . خیلی تمیز و نو می باشد . 
تلگرام و واتس آپ هم پاسخگو هستم.",personal
بوفه,دوتا شیشه کناریش شکسته،$NUM,for-the-home
کیف و کفش خارجی بسیار شیک و مناسب,"کفش مشکی پاپیونی سایز 38 به قیمت$NUMتومان
کفش قهوه ای سایز38 به قیمت 10000
کیف قهوه ای چرم گوچی 45000
کیف های مشکی کوچک و نو هر کدام 40000",personal
bmx,حرفه ای کاملا سالم حیچ ایرادی نداره,leisure-hobbies
پژو آردی i 84,"رنگ سه تیکه ,زیر پا خوب",vehicles
فروشکتاب تست کنکور,کتاب ها اکثرا ۹۴وانتشارات گاج هستن وبه نصف قیمت روی جلد بفروش میرسد,leisure-hobbies
پارس سال 89,دوسه لکه جزیی چهار حلقه لاستیک نو فنی بشرط اتاق بی صدا ماشین خوش رخ آماده مسافرت,vehicles
اکواریم صد لیتری با لوازم جانبی,بسیار سالم و نو,leisure-hobbies
آکواریوم,آکواریوم به همراه اسکار ولجنخوارش در اندازه نود در شصت,leisure-hobbies
میزنهارخوری 6 نفره به همراه راحتی,میز نهارخوری ششش نفره به همراه مبل 500 جای تخفیف هم دارد بعلت جابجایی سالمه,for-the-home
پراید مدل ۹۰,ماشین دوگانه فابریک رنگ نوک مدادی متالیک کفپوش روکش دزدگیر داره بدونه رنگم هست بیمه تا برج ده میباشد پولشم نقد میگیرم چه به روزم قبول نمیکنم .یاعلی,vehicles
بوفه,"چوبى 
رنگ قهوه اى 
تمیز",for-the-home
ایسوزو ۶ تن یخچال دار,ایسوزو ۶ تن یخچال دار .‌موتور پلمب. فروش به مصرف کننده واقعی,vehicles
تور یک روزه جنگلهای راش (سوادکوه),"حرکت جمعه 19 شهریور ساعت 5 صبح از میدان آرژانتین و رسیدن به تهران حدود ساعت 22.
خدمات: وسیله نقلیه توریستی، بیمه، لیدر.
جنگلنوردی در جنگلهای زیبای راش.
ابوطالبی$NUM
$NUM",leisure-hobbies
دوربین optina* AHD*,"دوربین اک هست 
تاحالا نصب هم نشده 
دید در شبAHD
یک سال گارانتی",electronic-devices
باربند ماشین,باربند ماشین 55000مقطوع,vehicles
ماشین لباسشویی ٧کیلویی ارج,"سالمه سالم خیلی تمیز شستشو و آبکشی میکنه خشک کن قوی
به علت جابجایی  فوری فروشی
مقطوع",for-the-home
کت پاییزه سایز$NUMمردانه..,نونو اصلا پوشیده نشده‌..جنس خوب ..سایز ۴۴.۴۶مردانه..رنگ قهوه ای سوخته..مناسب پاییز وزمستان.‌قیمت مناسب ..,personal
ظرف,ظروف داخل عکس شامل اردوخوری المان کاسه ویکتوریا3عددمتوسط وقوری است,for-the-home
کندانس خط  رب,سالم ٦ متری قطر ١ متر,businesses
36/38,پیراهن پولک دوزی آستردار در حد نو,personal
پیشی تام,سخنگو لمسی موزیکال,personal
فروش لوازم بچه گویم,گهواره .تاب.پشه بند.کیف بچه.رورویک گودبیبی بفروش میرسد.کاملاسالم,personal
سبوس برنج (معجزه),"این محصول در بسته بندی های: 
250گرم قیمت:2500تومان 
500گرم قیمت:5000 تومان
1کیلو گرم قیمت:$NUMتومان 

برای خرید ( مغازه دارها و سوپرمارکت ها  ) سفارش بذیرفته میشود 

بصورت کلی و جز ئی فروخته میشود
برای درخواست کننده کلی تخفیف ویژه داده میشود 
برای خرید با این شماره ها تماس بگیرید 

$NUM

این اگهی تکراری نیست",businesses
پراید se,ماشین خشکل و خوش رخ بیمه تا برج۱۱ دزدگیر پخش دیویدی موتور اچ پی مثبت یورو ۴ زاپاس نیفتاده با تشکر از سایت دیوار,vehicles
سینک .کابینت.هود آشپزخانه,به مشتری واقعی تخفیف داده میشه.با تشکر از دیوار,for-the-home
فرش بیضی,فرش ماشینی پاتریس بیضی سایز 1.5*2.25,for-the-home
کت تک اسپرت در حد نو,"کت تک اسپرت در حد نو
مارک : زارا     ZARA 
سایز : فیری 
اگر جنسشو دست بزنی متوجه میشی چه کتی هست",personal
اپل وکترا.بژکرم.مدل1994,بیرنگ.کولردار بخاری سالم.شیشه دودی وبرقی .اینه ها برقی وگرمکن دارد.رادیاتور کولر با اب تازه تعویض شده بافاکتور.تمام شیلنگ های داخل موتورتعویض شده .موتور سالم.تسمه تایم ودینام تازه تعویض لاستیک عقب ۸۵ درصدجلو 60درصد.بیصداوپرشتاب.کمک ها سالم.ظبط تصویری.چهارباند فابریک.تودوزی فابریک.بیمه تا۶/۹۶ با13سال تخفیف بیمه,vehicles
ریش تراش کاملا سالم واصل .فقط تماس شب,صد اب پنج تیغ باصمانت سالم بودن,personal
آمبولانس کاسپین,دو دستگاه آمبولانس تیپ A اورژانس، ون دانگ فنگ مدل ٢٠٠٨، سند آمبولانس بفروش می رسد.,vehicles
تردمیل برقی تاصدکیلوگرم,"سالم اماده بکار
شیب وکفی هم میشه
کم مصرف وبی صدا
نقاله نو روغنکاری شده
اماده ورزش 
تحمل بار صدکیلوگرم تست
معاوضه باگوشی تادویست وپنجاه هم میشه
پیامک تردمیل در چناران هست
تردمیل ورزشی باشگاهی تناسب اندام",leisure-hobbies
کامیون تک NL10,ماشین بدون رنگ ،موتور وگیربکس پلمپ .لاستیک و اتاق صد درصد.تخفیف جزیی پای معامله .ماشین دزفول می باشد,vehicles
نر راس سیاه گل دار ماده یال سیاه گل دار به شرط تخم,فقط تماس در صورت خرید.,leisure-hobbies
کفش مجلسی سایز ٣٨ بسیار شیک,فقط یکبار پا شده,personal
FIFA 16 ( PS4 ),"بازی فیفا 16 برای کنسول پلی استیشن 4 
PS4",electronic-devices
کانتر عطر و ادکلن,کانتر دو تیکه به صورت ال . جنس ام دی اف . ساعت تماس :   11 الی  21,businesses
لپ تاپ lenovo,"لپ تاپ لنوو با گرافیک بالا برای مشاهده فیلم
پردازنده مناسب
صفحه نمایش ۱۵.۶ اینچ
core i 5
64 bit
بقیه مشخصات در عکس موجود می باشد",electronic-devices
پژو٨٣بیرنگ لاستیک نو,"اشلامشهر
ماشین بی رنگه فنی سالم بیمه ام شیش ماهی داره لاستیک یه جفت نو انداختم اتاق داخلش همه چی فابریک دزدگیر تمیز فقط مصرف کننده .اس جواب نمیدم",vehicles
پایه LCD46inch,پایه lcd46inchسامسونگ. خودشو فروختیم.پایش تو انباری بوده.بلا استفاده.سالمه سالم بدون خط و خش.همه چی واضح لطفا سوال نکنید.هر چی میدونستم نوشتم....,electronic-devices
فریزر صنعتی,فریزر کم کارکرد و سالم هست.فقط تماس لطفا,businesses
پنکک مارک اتود,"اتود اصل_ بدلیل اینکه مناسبم نیست میفروشم_فقط یکبار تست کردم
با تشکر از عوامل دیوار",personal
یخچال اسنوا,"با سلام
یک عدد یخچال اسنوا کاملا سالم و تمیز
بدون برفک
مدل ۶۷۶
به خردیدار واقعی تخفیف داده میشود.",for-the-home
تلویزیون پروجکشن سامسونگ,"42 اینچ با کیفیت صدای بالا 
تلگرام و پیامک پاسخگو خواهم بود",electronic-devices
یه جفت زرد دم سفید با یه جفت توقی,یه جفت زرد دم سفید شعمک تخت نر کاکل ماده پیشونی جوجه دو کاکوله میده   جفت طوقی نر سرخ ماده سیاه و یه جوجه دوکاکوله زرد دم سفید. دوتا جوجه آرشنگل نرو ماده. ماده زرد شهری. همه جوجه داده,leisure-hobbies
شلوارلی,این شلوار در حد نو سالم و تمیز می باشد قد آن تقریبا حدود ۵۵ یا ۵۶ است,personal
تبدیل برق ۲۲۰ به ۱۱۰,سالم کار بردی,electronic-devices
مبل هفت نفره,بسیار محکم و سفارشی ساخت و سالم به علت جابجایی به فروش میرسد,for-the-home
گوشی ال جی .  LG,قیمت را کنار میایم,electronic-devices
روتختی ۵تیکه,"کاملا تمیز فقط یکی دوبار استفاده شده بعدش تو کاور بوده ۵تیکه با یه جفت بالش و کوسن کم کار خودم عید خریدمش،  فقط پیامک پاسخگو هستم.
(هرگونه مزاحمت توسط همسرم شدیدا پیگیری میشود)",for-the-home
پراید 89 دوگانه کارخانه,پراید دو گانه کارخانه مدل 90 فابریک بیمه تا برج 5 سال 96 لاستیک 80% فقط کاپوت و درب جلو سمت راننده رنگ شده تخفیف اصلا نداره مقطوع مقطوع مقطوع,vehicles
کبوتران بسیار پرش بالا .برای کسانی که گروه بازن,جوجه وکفتر کار برای 7ساعت تا 12 ساعت پرش,leisure-hobbies
کریر و بیس ماشین mama love,در حد نو چند بار بیشتر استفاده نشده قابل نصب در ماشین,personal
میز LCD نونو بدون خط و خش,"میز ال سی دی نونو بدون یک خط و خشی 
80هزار تومن میفروشم
فقط تماس تلفنی
$NUM",for-the-home
206 sdمدل 93,بیمه تا برج 2 از اول تخفیف-روکش چرم و کفپوش و باند-یک گلگیر عقب رنگ و ابرنگ سر کاپوت لکه گیری جزئی,vehicles
ضبط سی دی آلپاین,"سالم در صورت درخواست محدوده ورامین 
تخفیف هم داره",vehicles
وانت پرایدفول,بدون رنگ وبالوازم اضافه,vehicles
پوت چرم ،خارجی اصل,هرکدوم ۵۰تومن، جنسشون عااالیه ساخت اسپانیاس، سالم در حد نو،سایز ۳۸،۳۹,personal
سمند,از اول تخفیف بیمه 9بیمه و بدن دوگانه فنی موتری سالم,vehicles
پارس 90در حد خشک,پارس 90سه تکه رنگ داره بدون خط وخش .....,vehicles
سیستم صوتی pioneer,"ضبط مدل 8650bt
در حد نو
سالم
۶ خروجی


باند 6975 v2
 سالم
در حد نو



آمپلی مارشال 
۸۰۰ وات 


همشو هم با هم خواستین تخفیف میدم یه مقدار",vehicles
کت سارافن,کت سارافن جنس کتون نخ مناسب سن سه تاچهار سال پیامک جواب نمیدم لطفا فق تماس,personal
میز جلو مبلی,تمیز و کم کار$NUM,for-the-home
میز کنفرانس شیشه ای,"میز 
کنفرانس 
در رنگ های متنوع
و ضمانت 
بسیار شیک",businesses
فروش کلیه تجهیزات ارایشگاه درحد نو,"۲ سری ویترین 
۲ عدد صندلی اصلاح طرح برقی با کاور نو
۱ عدد سرشور طرح جدید با کاور نو 
۱ دست مبل ۴ نفره روکش چرم 
سشواره ایستاده و جاسشواری 
تعدادی صندلی 
یک میز کامپیوتر 
آینه ایستاده 
۳ عدد پرده نخی 
۱ عدد کولر دستی",businesses
Lenovo TAB 2A10-70L,"تبلت لنوو بسیار تمیز و سالم با جعبه
Full hd 1920*1200
Dolby Tuned
64bit Quad Core
16GB
RAM:2GB
WWAN:LTE
تعويض ندارم
لطفا پيامك و تلگرام$NUM",electronic-devices
ایکس باکس اسلیم360جیتگشده با 250 گیگ به سفارش USA,"ایکس باکس اسلیم 360 در حد اک..
به سفارش امریکا لمسی!
3عدد دسته!
4عدد باطری!
2عدد شارژر دسته!
1عدد هدفن!
60عدد بازی!
1عددکابل اچ دی!
1عدد کابل فیش!


از همه محم تر اینه ک به سفارش امریکاست و خیلی تمیز و بدون سرصدا است!


تلگرام هم هستم!

با تشکر از دیوار",electronic-devices
پراید مدل٨٤,بیمه تا ٩٦/٥، ٢تا گلگیر رنگ، موتور و فنی سالم,vehicles
پژو پارس ٩٢ خاکستری متالیک,"بی رنگ،بیمه
 تا برج ٢ ،روکش چرم، کفی ىه تکه،",vehicles
میز تلوزیون براکت دار,میز براکت دار فوری فروشی قیمت اخرش همین است درصورت انتخاب تماس بگیرید.با تشکر از دیوار,for-the-home
ان اس ۲۰۰ نقد و اقساط,"ان اس مدل$NUM
بیمه تا برج ۱۲ 
بسیار تمیز .بدون خط و خش .
تمام مشکی .
پلمپ ب شرط ‌.
نقد و اقساط .چهار پیش الباقی اقساط .
فروش فوری .",vehicles
صندل چرم,صندل چرم سایز 38,personal
ساعت مچی police   زمانه2,"در حد نو، به همراه جای باکس اورجینال
با گارانتی
فوری فروشی",personal
کاپشن دخترانه,کاپشن مارک بنتون درحد نو مناسب تا یکسال و نیم خریداری شده از هلند,personal
قناری جفت,قناری  جفت خورده  سفید ماده,leisure-hobbies
دستگاه ویبره برای لاغری شکم و پهلوها,دستگاه ویبره در حد نو,personal
کالسکه خارجی ((پیرگاردین)),تمیز و سالم، زیاد استفاده نشده، همراه با کاور سرما خارجی پیرگادین,personal
ایکس باکس 360 سالم,ایکس باکس 360 همراه با دو دسته سالم وهمراه 30 بازی واپدیت بازی های روز,electronic-devices
میز تلویزیون,میز تلویزیون چوبی j روکش چوب طبیعی برند خانه رویایی در حد نو ،سه طبقه طول 140,for-the-home
پشه بند فلاسک وتشک تعویض,پشه بندبزرگه تایکسال ونیم هم می شه استفاده کرد تشک تعویض نونونوفلاسک هم سالم سالم فروش هرسه باهم فقط پانزده تومن تخفیف مساوی باخنده,personal
فروش قناری ماده کاملا آماده حلقه به پا,کاملت سالم و سرحال هستش .آماده برای جفت انداختن.با تشکر از دیوار,leisure-hobbies
Ef7 سمند مدل 87,130 تا کارکرد، زیر پا فنی سالم، کاپوت جلو وگلگیر عقب رنگ شده، شاسی ها سالم،,vehicles
فایرتایر لاستیک,"برای سفارش عدد 23 را پیامک کنید با شما تماس گرفته میشود 
پرداخت وجه درب منزل شما
مناسب برای انواع اتومبیل ، موتور و دوچرخه
با نور افشانی بی نظیر
دارای 5 رنگ مختلف و 8 حالت فلاشر
مناسب هر نوع رینگ و لاستیک
این محصول در بسته بندی 4 تای عرضه شده است.
برای سفارش عدد 23 را پیامک کنید با شما تماس گرفته میشود",vehicles
لباس نو و در حدنو,فروش ویژه لباس نو و در حدنو ترک و انگلیسى,personal
آکواریوم ماهیران,بسیار تمیز همراه با تمامی وسایل تخفیف جزئی پایه معامله,leisure-hobbies
سایز ۴۳,با سلام کتونی پورشه اصلی خودم ۱۸۰ خریدم از اول تنگ بود به پام فقط دو تا عروسی پوشیدم,personal
کت و شلوار نونو سایز 48,"کت و شلوارنونو،کاملا سالم ، بسیار شیک ، فقط یکبار استفاده کردم ،خودم از برج ارین میرداماد700بابتش پول دادم،اما چون سایزم نیست ،زیر قیمت میفروشمش.
لطفا فقط تماس بگیرید جوابگو پیامک نمی باشم.",personal
سانترال,گوشی ۷۶۳۰ برای دستگاه سانترال TDA,electronic-devices
دامن کوتاه مجلسی کتان,"فقط یکبار پوشیده شده,سایز 36",personal
کفش ورزشی سایز 45 آک,کفش ورزشی مناسب پیاده روی دو و ورزش های سالنی,personal
خوردوی پیکان مدل ۸۰,بیمه تا آخر سال تخفیف بیمه تا ۵سال تخفیف پای معامله,vehicles
گیتار آک,هیچ استفاده ای نشده فقط وفقط برای دکور بوده خدایی یکبارم باهاش نزدیم بهترین سازنده تهران با بهترین چوب برامون ساخته دستسازه ارزشش حدود ۱میلیون است لطفا برای سوال فقط تماس بگیرید با تشکر,leisure-hobbies
صندلی غذای کودک و روروئک پیرکاردین,"بسیار سالم و تمیز
فروش کلیه لوازم کودک و اجناس منزل بدلیل مسافرت",personal
میز ناهار خوری,8 صندلی مهمان,for-the-home
کریر,سالم و تمیز,personal
صندلی غذا چیکو اصل,در حد نو . مناسب برای سیسمونی,personal
زاغ چشم و نوک سفید کاکلی,"یه جفت زاغ قیری چشم و نوک سفید (مطابق عکس)
مولد و پرشی (سه چهار ساعت)
سالمه ساااااالم
قیمتو مناسب میزنم میگید گرونه
قیمتو پایین میزنم میگید مریضه
نه داداچ داری اشتباه میگی
از منو شما سالم تره
فقط چون میخوام زود بفروشم قیمتو ارزون زدم
اگه واقعا خریداری بزنگ 
اگر نیستی وقت خودتو منو نگیر
یاعلی

با تشکر از عوامل دیوار",leisure-hobbies
کاپشن ضد آب,کتان سایز لارج نو,personal
ضبط و پخش لیفان x60,با سلام کلا یک روز رو ماشین نصب بود آکبند کاملا نو   در ضمن قیمت مقطوع,vehicles
پالتو گرم سایز لارج زنانه,پالتو گرم قرمز لارج زنانه خوش دوخت شیک,personal
یخچال ۱۲ فوت کاملا سالم ب دلیل کمبود جا,کمی بیرونش لک داره,for-the-home
خودرو 206,10 سال تخفیف بیمه,vehicles
پارس,پارس سفید تمام رنگ شاسی سالم خوش رویت معاوضه با ۱۱۱سفید یا ۲۰۶,vehicles
شلوار جین,سایز 38.راسته.در حد نو,personal
بخاری برقی مدل150انرژی6المنتی,بخاری مدل150انرژی.6المنتی.21.6امپر.سه فاز.درحدنو,for-the-home
کیف دست دوز چرم مصنوعی,"کیف فوق کاملا دست دوز است کیف اولی۶۰۰۰تومن.کیف دومی چرم اصل۱۵۰۰۰تومن.
سفارش هرگونه کیف با چرم نیز پذیرفته میشود 
لطفا جهت سفارش تماس بگیرید",personal
یک جفت کتونی GORETEX,"سایز 41،42
کفش نو میباشد.
خودم 80 خریدم 60 میفروشم.
اس ام اس و تلگرام در خدمتم

تخفیف پای معامله.",personal
مانیتور,"LCD LG FLATRON
17 اینچ",electronic-devices
دو پرده ی بسیار شیک,"پرده ی پذیرائی پارچه ترک به رنگ صورتی  همراه با دو والان بسیار شیک در اندازه ی 2.30عرض و 2.80 قد
پرده ی اتاق خواب به رنگ ارغوانی همراه با والان مخمل بنفش اندازه  2 عرض و 2.50قد
به علت جابجایی نصب نیست",for-the-home
خودروپراید,قیمت توافقی,vehicles
تلویزیونlg,تلویزیون 21  اینچ الجی بسیار تمیز و سالم همراه میز سفید مشکی ام دی اف فوری فوری فروشی بعلت کمبود جا,electronic-devices
دوچرخه,"دوچرخه دنده ای فنی کاملا سالم و با شرط 
ب علت جابجایی قصد فروش داریم
ب خریدار واقعی تخفیف داده میشود/",leisure-hobbies
فرز انگشتی رونیکس,خودم ۲۰۰ پولش و دادم تازه خریدم تمیز و با کیفیت,businesses
دوچرخه,کاملا سالم دو رنگ,leisure-hobbies
میز تلویزیون,فروش فوری_ تمیز,for-the-home
واکر نو,"سالم تمیز 
فقط تماس تلفنی پیامک پاسخگو نیستم",personal
دستگاه قهوه ساز اسپرسو,فروش دستگاه اسپرسو وتجهزات فست فود وکافی شاپ نو ودست دوم بیشتر اطلاعات و عکسها ازطریق تلگرام فرستاده میشود تشکر از دیوار,businesses
پخش روغن سیاه دانه,"سلام پخش روغن سیاه دانه
1لیتر:100000تومان
70گرم:10000تومان
لطفا فقط تماس بگیرید.یاعلی",businesses
بلند آکبند نو,دزدگیر تازه خریدم و بلندگوش تمیز وسالمه مشکل نداره,vehicles
فنچ مولد با سه عدد تخم,سه تا تخم تولونه دارن ی جفت و سه تا نر بالغ هستن دوعدد لانه با‌ دوآب خوری و نی تا الان دو بار جوجه دادن فقط پیامک جواب داده میشه به علت وقت نداشتن به فروش میرسد فقط پیامک قیمت بدید و بگید بدون لوازم میخواهید یا با لوازم تماس جواب داده نمیشود.,leisure-hobbies
کمد و بوفه,سلام کمد ام دی اف سالم میباشد شماره تماس$NUM,for-the-home
مانیتور LG,کاملا سالم وتمیزه وبشرط میدم وبه ندرت استفاده شده.,electronic-devices
دستگاه سیستم سونوگرافیSC-250,"یک دستگاه سیستم سونوگرافی  SC-250 با متعلقات از کمپانی پای مدیکال هلند, کاملاً سالم و کم کارکرد .",businesses
وسایل ریلکسی,صندلی چرمی ماساژور تلفن تماس$NUM,leisure-hobbies
سمند LX بنزینی موتور پژویی,ماشین زاپاس نخورده و بی رنگ و بدون ضربه,vehicles
اتو پرسی خارجی. سالم,اتو پرسی. مارک بلومبرگ. کاملا سالم. به علت کمبود جا می فروشم. عجله دارم,for-the-home
الجب  kp500,سالم با ضمانت و مهلت تست  لمسی ۳.۵ اینچی سیستم جاوا  دوربین ۳ با قلم,electronic-devices
آیفون فایو اس,شونزده گیگ  سالم تخفیف جزیی معاوضه هم میشود,electronic-devices
پارس tu5فیروزاباد,پارسtu5در فیروزاباد تا برج ۱۱بیمه فول سیستم درب راننده فابریک تعویض شده,vehicles
بوفه گردو,بوفه چوب گردو قسمت ویترین سه طبقه،کشو خور،قسمت کمد دو طبقه,for-the-home
پراید سفید مدل 90 بیمه 20/11,فروشنده ام قیمت توافقی ماشین سالم وسر پا,vehicles
پژوپارس,یکسال تمام بیمه ازاول تخفیف.تک برگ سند.یک گلگیر وکف صندوق ومقداری از لبه صندوق رنگ.لاستیک پهن.دوگانه کارخانه.سفيدرنگ.ضبط تصويري.,vehicles
مانتو بافت نازک ترک,مانتو بافت نازک.مناسب برای سایز ۳۶ تا ۴۰.مارک ال سی ترک.بیشتر از ۵ بار استفاده نشده.در حد نو,personal
دوربین مداربسته ال جی در حد نو,"کلا یه سال نصب بوده با هارد و آداپتور 
مقطوع",electronic-devices
